order_id,socket.io,websocket,delta
1195813551,1565158716,1565158716,-0.041815042
1195813552,1565158716,1565158716,-0.041815042
1195813553,1565158716,1565158716,-0.041815042
1195813554,1565158716,1565158716,-0.041815042
1195813555,1565158716,1565158716,-0.041815042
1195813556,1565158716,1565158716,-0.041815042
1195813557,1565158716,1565158716,-0.041815042
1195813558,1565158716,1565158716,-0.041815042
1195813559,1565158716,1565158716,-0.041815042
1195813560,1565158716,1565158716,-0.041815042
1195813561,1565158716,1565158716,-0.041815042
1195813562,1565158716,1565158716,-0.041815042
1195813563,1565158716,1565158716,-0.041815042
1195813564,1565158716,1565158716,-0.041815042
1195813565,1565158716,1565158716,-0.041815042
1195813566,1565158716,1565158716,-0.041815042
1195813567,1565158716,1565158716,-0.041815042
1195813568,1565158716,1565158716,-0.041815042
1195813569,1565158716,1565158716,-0.044052124
1195813570,1565158716,1565158716,-0.044052124
1195813571,1565158716,1565158716,-0.044052124
1195813572,1565158716,1565158716,-0.044052124
1195813573,1565158716,1565158716,-0.044052124
1195813574,1565158716,1565158716,-0.044052124
1195813575,1565158716,1565158716,-0.044052124
1195813576,1565158716,1565158716,-0.044052124
1195813577,1565158716,1565158716,-0.044052124
1195813578,1565158716,1565158716,-0.044052124
1195813579,1565158716,1565158716,-0.044052124
1195813580,1565158716,1565158716,-0.044052124
1195813581,1565158716,1565158716,-0.044052124
1195813582,1565158716,1565158716,-0.044052124
1195813583,1565158716,1565158716,-0.044052124
1195813584,1565158716,1565158716,-0.044052124
1195813585,1565158716,1565158716,-0.044052124
1195813586,1565158716,1565158716,-0.044052124
1195813587,1565158716,1565158716,-0.044052124
1195813588,1565158716,1565158716,-0.044052124
1195813589,1565158716,1565158716,-0.044052124
1195813590,1565158716,1565158716,-0.044052124
1195813591,1565158716,1565158716,-0.044052124
1195813592,1565158716,1565158716,-0.044052124
1195813593,1565158716,1565158716,-0.043663979
1195813594,1565158716,1565158716,-0.043663979
1195813595,1565158716,1565158716,-0.043663979
1195813596,1565158716,1565158716,-0.043663979
1195813597,1565158716,1565158716,-0.043663979
1195813598,1565158716,1565158716,-0.043663979
1195813599,1565158716,1565158716,-0.043663979
1195813600,1565158716,1565158716,-0.043663979
1195813601,1565158716,1565158716,-0.043663979
1195813602,1565158716,1565158716,-0.043663979
1195813603,1565158716,1565158716,-0.043663979
1195813604,1565158716,1565158716,-0.043663979
1195813605,1565158716,1565158716,-0.043663979
1195813606,1565158716,1565158716,-0.043663979
1195813607,1565158716,1565158716,-0.043663979
1195813608,1565158716,1565158716,-0.043663979
1195813609,1565158716,1565158716,-0.043663979
1195813610,1565158716,1565158716,-0.043663979
1195813611,1565158716,1565158716,-0.043663979
1195813612,1565158716,1565158716,-0.043663979
1195813613,1565158716,1565158716,-0.043663979
1195813614,1565158716,1565158716,-0.043663979
1195813615,1565158716,1565158716,-0.043663979
1195813616,1565158716,1565158716,-0.043663979
1195813617,1565158716,1565158716,-0.043371916
1195813618,1565158716,1565158716,-0.043371916
1195813619,1565158716,1565158716,-0.043371916
